Wort,English,Gender,Category,Box,Passes,Fails
Schneit,Snowing,_,other,0,0,0
Rechts,To the right,_,other,0,0,0
Glas,Glass,N,other,0,0,0
Heiße,,_,other,0,0,0
Danke,Thank you,_,other,0,0,0
Hallo,Hello,_,other,0,0,0
Jung,Young,_,other,0,0,0
Surft,,_,other,0,0,0
Es tut mir leid,I'm sorry,_,other,0,0,0
Kreditkarte,Credit card,F,other,0,0,0
Interessant,Interesting,_,other,0,0,0
Mit,With,_,other,0,0,0
Nein,No,_,other,0,0,0
Lecker,Delicious,_,other,0,0,0
Cool,Cool,_,other,0,0,0
Ok,Ok,_,other,0,0,0
Keinen,,_,other,0,0,0
Morgen,Morning,_,other,0,0,0
Klein,Small,_,other,0,0,0
Nicht,Not,_,other,0,0,0
Fantastisch,Fantastic,_,other,0,0,0
Laut,Loud,_,other,0,0,0
Vielen dank,Thank you very much,_,other,0,0,0
Du,You,_,other,0,0,0
Wunderbar,Wonderful,_,other,0,0,0
Teuer,Expensive,_,other,0,0,0
Elegant,Elegant,_,other,0,0,0
Polnisch,Polish,_,other,0,0,0
Volleyball,Volleyball,_,other,0,0,0
Schön,Beautiful,_,other,0,0,0
Neu,New,_,other,0,0,0
Geld,Money,_,other,0,0,0
Jetzt,Now,_,other,0,0,0
Heute,Today,_,other,0,0,0
Geldautomat,Atm,_,other,0,0,0
Freunde,Friend(f),F,people,0,0,0
Herr,Mr,M,people,0,0,0
Partnerin,Partner(f),F,people,0,0,0
Partner,Partner(m),M,people,0,0,0
Oma,Grandma,F,people,0,0,0
Frei,Ms,M,people,0,0,0
Universität,University,F,places,0,0,0
Kanada,Canada,N,places,0,0,0
Bibliothek,Library,F,places,0,0,0
Stadtmuseum,City museum,N,places,0,0,0
Straße,Street,F,places,0,0,0
Marktplatz,Marketplace,M,places,0,0,0
Stadt,City,F,places,0,0,0
Deutschland,Germany,N,places,0,0,0
Russland,Russia,N,places,0,0,0
Fußball,Football,M,sports,0,0,0
Samstag,Saturday,M,time,0,0,0
Bus,Bus,F,transport,0,0,0
Zug,Train,M,transport,0,0,0
Herbst,Autumn,M,weather,0,0,0
