German,English,Gender,Box,Passes,Fails
Glas,Glass,N,1,5,1
Silber,Silver,N,1,8,2
Gold,Gold,N,1,2,0
Metall,Metal,N,1,8,2
Diamant,Diamond,M,1,6,2
Plastik,Plastic,N,1,2,0
Holz,Wood,N,1,13,7
Kupfer,Copper,N,1,21,10
Stein,Stone,M,3,6,0
