German,English,Gender,Box,Passes,Fails
Basketball,Basketball,M,0,0,0
Bouldern,Bouldering,N,0,0,0
Rugby,Rugby,N,0,3,1
Tennis,Tennis,N,1,6,2
Spiel,Game,N,1,5,1
Klettern,Climbing,N,1,9,3
Fußball,Football,M,1,2,0
Volleyball,Volleyball,M,1,2,0
Sport,Sport,M,0,4,2
