Wort, English, Gender, Box, Passes, Fails
Wien,Vienna,N,0,0,0
Hotel,Hotel,N,0,0,0
Markt,Market,M,0,0,0
Österreich,Austria,N,0,0,0
Supermarkt,Supermarket,M,0,0,0
Museum,Musuem,N,0,0,0
Bäckerei,Bakery,F,0,0,0
Konzert,Concert,N,0,0,0
