Wort, English, Gender, Box, Passes, Fails
Mitbewohnerin,Roommate(f),F,0,0,0
Mitbewohner,Roommate(m),M,0,0,0
Mutter, Mother, F, 0, 0, 0
Junge,Boy,M,0,0,0
Mann,Man,M,0,0,0
Freundin,Friend(f),F,0,0,0
Frau,Woman,F,0,0,0
Opa,Grandpa,M,0,0,0
Freunde,Friend(f),F,0,0,0
Herr,Mr,M,0,0,0
Partnerin,Partner(f),F,0,0,0
Partner,Partner(m),M,0,0,0
Oma,Grandma,F,0,0,0
Frei,Ms,M,0,0,0
Freund,Friend(m),M,0,0,0
Onkel,Undie,M,0,0,0
