Wort, English, Gender, Box, Passes, Fails
Couch,Couch,F,0,0,0
Bett,Bed,N,0,0,0
Stuhl,Chair,M,0,0,0
Tisch,Table,M,0,0,0
Lampe,Lamp,F,0,0,0
Teppich,Carpet,M,0,0,0
Bücherregal,Bookshelf,N,0,0,0
